ratings,text
4,"they are a telco that listen to customer needs, easy to change your plans settings on the go with the app. no complicated deals and packages. Easy to understand terms and condition.   HOWEVER, im not sure if its circles only or its a problem faced by other telco or an iphone with a thick casing issue. Whenever im travelling past certain MRT station of singapore, my data connection gets cut off.  overall, its been a good telco compare to the other telco that i have used before or currently using as my 2nd number."
5,"VALUE FOR MONEY: 5/5 20GB for 18/month is the best value for money right now in Singapore.  APPLICATION PROCESS: 5/5 Submitted application in the morning and received my SIM within 3 hours! The SIM was activated within 24 hours of receiving it.  ADD ONS: 3/5 They offered free caller ID for Corporate customers, which was great. However, they charge $2 for unlimited incoming calls. Not a big fan of that decision.  Also, there is an option to pay $20 for unlimited data. However, ""unlimited"" means you still have a cap around 40 GB.   APP EXPERIENCE: 5/5 Their app is sleek and very useful unlike other telcos in Singapore.  OVERALL: 4.5/5 Amazing telco. I have subscribed to 2 other telcos in the past, so far Circles beats them by a huge margin."
5,"Circles.Life is a beacon of hope in the generally derided telco space. Excellent coverage and service plans (gotta love that bonus data!), and a quirky brand personality that really sets them apart.  They're one of the (very) few companies that I've fallen in love with twice over. I was in SG for a short stint last year, and opted for them because they were cost-effective, but went on to be super impressed by the quick and effortless registration/activation process, and their very awesome Customer Support team, which made them the no-brainer choice when I moved back here again. I'm a delighted customer, and can't recommend them enough! "
5,Really love circle life. Have been using it 1 years plus and really love it. And how they give National Day gift as unlimited date which I love it so much hahaha!! That I can use data freely for about one week. Thank you circle life and I really wish to wish this $50 grab voucher because it really help me a lot to travel around as I working need to travel a lot. And this $50 can really save my life for maybe a few trips 
5,"APPLICATION PROCESS I was the pioneer batch of 4GB before they started the current 20GB base plan. The application process was really smooth. You just need to move the slider around to customise your mobile plan. All the on-screen instructions and procedures are clear. You just need your phone and bank card ready. I applied online and waited for my new SIM card to arrive. It arrived 3 days later via a courier to your door, both the new phone and SIM card. There's tracking system on where the delivery stage is as well. Especially for those who are new to this MVNO that doesn't have any existing shop, this ensures there's some reliability and assurance. During this period, you're also given a temporary number during the porting process. Though the old number is still available for call.  NETWORK CONNECTIVITY I travelled throughout the whole Singapore most of the time. Back then the dead zone was in Yishun area, so I feedback to them via their Facebook page. While on train, there isn't much issue. Possible ones are only when moving across signal towers, like Jurong East to Clementi. There's connection in the underground as well, way better than it started off. And definitely much better than other Big 3, that will even drop to 3G network. Signal in underground is pretty strong and fast, managed to watch a Running Man episode as well underground in the Downtown Line.  CUSTOMER SERVICE They have a 24-hours service helpline there, if there's no one, it will still be logged on their side and addressed immediately. They are very helpful in answering your questions and doubts. Back then for the Yishun network dead zone, they solve it after you have pinpoint them the exact location that you have found. They will add another repeater in that area. The other time was, during my reservist period. My second phone was still using the whole 2G network under Singtel, before they announced eliminating the network entirely to move towards 3G baseline network. So I asked them if they give another SIM card under the same line, and they said it's possible!   PRICE As I've ported in from other telecom, they will give you another 1GB for only $28/month! No strings attached, no contract liability, as compared to others with a minimal of 2 years contract. What's more, Circles.Life will give 500MB for every 6 months loyalty. Now they introduced a 20GB base plan. Back then I thought old existing users won't get it, just like other telecom that forces you to recontract with them again. But NO, they in fact give you the 20GB as well to enjoy with the rest of the community.   BONUS All your mobile plan are controlled inside an app by theirs. So you can mix-and-match anytime to change and suit your needs. Likewise, if you are planning to go JB, just turn on your data roaming on the app. They are activated a few minutes later! No more asking for roaming services via some website and wait for weeks to process. They now have a quiz section, that if you answered by the majority you get extra data as well! Gone the times you have to struggle, and think of how much data limit you have to plan out for this week, just so you have enough for the remaining days. Going green, the monthly bill payment are stored in the app, no more fussy monthly bill posted to you. And occasionally they will offer event-based bonus data, like 500MB extra data on your birthday, and now even a 12 days of unlimited data during the National Day season! Where to get this kind of stuffs, you tell me! "
5,"APPLICATION The application process is completed online. I left my work e-mail on the CIS website and received a CIS code within the day. The CIS code stacked with the $120 cashback when I opted to port over my number from StarHub. I opted to collect my SIM card from SingPost, and could track when the port over would take place online. Meanwhile, I had no problems with using my existing SIM card. The whole process was seamless and fuss free.  CONNECTIVITY There were no teething issues with connectivity. While there were some difficulty accessing 4G in certain locations (e.g. between certain stations on the NEL or in the underground passageway at the Singapore Indoor Stadium), by and large the connection was stable and strong. By signing up through CIS, I got an additional 6GB of data for a year along with 3 additional months of bill credits (capped at $28/month). This made Circles.Life the most value-for-money telco in the market for me.  SUPPORT I was able to reach customer support easily, even on weekends or weekday nights, through their Facebook page. I got prompt replies, within minutes at times.  APP From the Circles.Life app, I am able to easily view my past and upcoming bills and track my data, call, and SMS usage. I am also able to easily change my credit card number. Most importantly, I am able to activate add ons to boost my data or activate roaming boosts for overseas travel. I can also set data spending alerts and caps. I am thankful that Circles.Life also runs promotions such as the most recent NDP promo which gave free unlimited data for over 10 days in August.  OVERALL Having tried other traditional operators and VMNOs, I find that Circles.Life has done extremely well in meeting my data hungry needs and continues to reward existing users. I highly recommend Circles.Life for data heavy users and those with CIS plans. 5/5!"
5,"Application Process: It was a smooth one, I would say. It only took 2days for my simcard to be shipped which I collected at SingPost.  Network Connection: There's no perfect Telco Provider. So there were times when the data reception is quite bad. But it never lasts for long. It would also prolly be because of the area, which is common to telcos.  Customer Service: They don't have a contact # to call in case you want to ring them for an enquiry, issue etc.. Instead, they have a live chat. Though again, there's no perfect telco provider, so I've already experienced shady officers which the good thing about CirclesLife is that, they will get back to you to sort things out when they feel thay you're not happy with the outcome of your concern.  Value-For-Money: Unlimited data is something everyone would surely prefer. Though their gadgets are a bit pricey, their services on the other hand are affordable."
5,"Great mobile plan! Have been with circles for over 2 years and I can say I haven't been disappointed once with their prices, connection and also the amount of days given.  Am currently on their $28/month and it is the cheapest I have ever paid ever since secondary school. Would recommend! "
5,"Circles offers great plans, especially during their promotions! Application process is seamless, and customer service is good"
5,registration is hassle free. 18sgd a month for 20+ gb data is a great deal. awesome customer support
5,"So happy that i decided to switch to circles life, it was the best decision ever 🙌🏻 I used to only have 3GB of data every month and would always overshot and be forced to pay an extra $10 just for an extra GB. But now with circles life, I have 20 GB every month and my data never runs out anymore. I could even on it 24/7 and still wouldn’t be able to finish using it. Esp with the current National Day special where there is unlimited date from 7-19 August, which makes it even more worthwhile. So what are you waiting for? Join Circles. Life now and reap the benefits instantly!! Not to mention there are also weekly giveaways on the Circles.Life app, what more could I ask for? 🤩💘"
5,"value for money !! def worth it to sign here, but could have given more data and voicecall, otherwise all is good! customer service isnt bad too every problem solved within minutes ! give this a thumbs up boys"
5,The best telco in Singapore. Service is fast and excellent. All members of my family has switch to Circle.Life
5,"Thanks for the free GB😍 got them from caroysell land, internet connection was really good and fuss free sign up! "
5,"Switched from Starhub, which I paid roughly $25/month for 2GB data. Now I'm paying less for almost 10 times the monthly data. Most importantly, I'm no longer bound by contracts that starts with a minimum of 12 months. Good signal coverage most of the time, awesome telco to subscribe to."
4,"Quite a smooth and direct process in application, and the plans are attractive too. Had some difficulties with the bill breakdown and misunderstanding of charges but customer service (chat service) was very prompt to resolve the issue. Service officer was polite and knowledgeable in offering solutions, which then changed my intention from termination to continuing my service with Circles. I had plenty of questions towards the fees and policies but he could explain each part in clear details + examples. So kudos in that, didn't have to get confused further. Probably the downside would be the lack in call centre which would have save a lot of time since talking could just get things clear within minutes, rather than chatting through app/email which could take hours or even days for each other to reply at different timings. Hopefully Circles continue to keep up with their quick customer service and valuable plans. "
5,"Love circles life telco! Honestly is the best, as u can customise all you want in your line. They will always check with you about their services and how to improve them by giving its users surveys. "
5,"Really appreciate the presence of no contract data! Circle life first started this program, and it's benefitting to alot of Singaporeans. Slowly, other telecom joins as well.  Additionally, I really like the interface of the apps. It's bug free, from my experience! Great job!"
5,Cheap cost and lots of data. Been using this since their launch and no regrets ever since. They have a many different options for how you want to use your data and the versatility is something that I can appreciate greatly. They are constantly coming up with better promotions to one up competitors so you never lose out in terms of pricing. Great Telco!
5,Circles life are the best telco platform that I ever use. Best internet plan and good network coverage! support.
5,Customising to your telco needs as and when and save $.. Its even better now that it has roaming data plan at lower rates. What's best is that the loyalty and referral programs!! Wohoo!! 
5,"For only $28/month! With no contract somemore. Many other telco are starting to offer SIM-ONLY plans, but the reason to stay with Circle is because they offer 500MB/month for every 6 months staying with them. It means during your 2 years contract with other telco, You’ll  be getting additional 2GB/month free for staying with Circle. Highly recommend to use it!!"
5,"I was a bit worried initially when I ported over to Circles Life because Circles Life seemed ""cheap"" in comparison to major players like Singtel and Starhub, but the data connectivity and amazing customer service only made me regret why I did not make the switch earlier.  APPLICATION PROCESS - User friendly and easy application process - Managed to port in to Circles Life without any disruptions - They helped to cancel my previous line with Starhub, and made the transition very smooth - Delivery of my new SIM card was available within 1-2 working days and was right on time  COST & VALUE - $20/month - 20 GB of data (free data surprises at times) - 100 mins outgoing calls - UNLIMITED incoming calls - 25 SMS (if you ever need it)  CONVENIENCE - Extensive FAQ which can answer most of my queries - 24/7 customer service team that is contactable via live chat or email anytime - Automated bill payment via my credit card every month"
5,Circles Life has cut down my entire family’s mobile telecom bill by a few hundred dollars a month. A no brainer to move from other telcos. 
3,"Overall it's well but not considered as good enough , the most disappointing is new port in member could get lower price package even just for certain period , but how can be old member need to paid higher for same package , since you are having promotion , just let the new and old member could enjoy it  , it's unfair to old member ."
4,"I was an early adopter of $0/mth Flexi-Plan in June 2018. This plan has 1GB data, 30 minutes talktime, 10 SMS, free caller ID. Though no overseas roaming service available. Those who are frequent travellers would need to take note.   Signup can only be done on Circlelife website as there is no retail or agent stores.   Signing up on their website was quite simple. Just create a new Circlelife account with personal particulars, choose $0/mth Flexi Plan, upload my digital copy of NRIC and lastly fill in a Credit Card number. Delivery of SIM card by courier cost $6, there was no self-collection site.   Porting from other telcos is available during signup and there is an option to port at a later stage after activation. I choose not to port over first as I wanted to try on their network before deciding.   Received my Circlelife SIM card within a week, pop in the SIM card into my mobile phone and was immediately activated ready to use.   I could download the Circlelife app to check on data, talktime, SMS usage for the month and to boost/topup my data or talktime at a cost if I ever need to. I could also do a port in from other telco, on this line, at some other time with the app itself. This is great flexibility!  Also, the app has a online Live Chat function with their customer serivce staff when I have an enquiry. The Live Chat does not respond immediately when activated, there will still be some minutes of waiting time before someone respond to my enquiry.   Reception wise for 4G network is good at outdoor and indoor buildings as Circlelife piggy bank on M1 network. There was fast data connection speed outdoor and no drop call connections ever experience before.  However, whenever I was in a moving train along North East MRT, especially Kovan to Serangoon, 4G data reception and 4G data speed in was non-existence. This still happening in 2019.  I would need to manually switched to 3G on my mobile phone to get a usable data connection.   I have already used this Flexi-Plan on my spare phone for more than 12 months and Circlelife is still continuing this $0/mth plan with no changes in plan price yet. According to the Circlelife's customer service staff on livechat, as long I have usage on this line, either data or talktime in the last 3 months, this line will not be suspended or terminated.   Overall, other than the non-existence 4G data network along some North East MRT line, which was bearable as I don't commute that line often. I would recommend this Flexi-Plan to any low data/talktime usage users, such as the elderly or for usage in a spare phone or tablet.   "
5,"Circles.Life has an easy application process just by doing it online. It is fuss-free, just taking a few minutes to fill up my particulars, make payment and viola, their staff processes the application within a few days and got back to me on the delivery of my SIM card. They have excellent customer service, even through the Facebook Messenger channel which I prefer since I’m busy working during the office hours and couldn’t really make a call. Even though there was a hiccup with the payment for registration initially causing a double charge to my card, the staff handled it situation well and were quick to process a refund for me and provide me with regular updates for the refund. Amazing telco with the customer in mind!"
4,"It was great to have that no-contract.  get bonus datas for no reasons pretty much!  super helpful customer service!! That was superb  only thing was that new customers seemed to be getting better deals etc.. which felt bad, but then again we would get more data and freebies etc... (for me it was about price, as never manage to fulfil data caps) "
4,The ability to have live chat is a good option. I solved many of my queries via live chat. Generally their app is good. Ability to switch on and off roaming quickly is also Good!
5,Really good the application process was really easy to install and use and the mobile plans great 👍🏼 
4,circles is reasonably reliable and offers competitive pricing for its services. the one downside is that there is no hotline to call when you feel like screaming at someone. great way to train your capacity for patience. 8/10.
5,I have been a user of circle line since May 2018 when they launch a free 1GB data line. The line is stable and never face any problem. I like it very much hope to continue using it.
5,"I signed on with Circles 2 years back and I have been very pleased with their services since and it is definitely value for money for the amount of data I get. The app's UX/UI design is great, love it!  I also love that there are options to boost your data by their partnership programs such as linking your EZLINK to the app. Something I recommend to my friends looking to switch telcos.   Love to see more perks from Circles for sure!    "
5,"Basically excellent plan for no-frills, low-cost data and mobile usage.  Super value for money - I only pay $30ish/mth for 20++GB of data, sufficient call time and text.  Easy to use app to monitor and customize plan. Can tweak plan requirements on demand. Now with added options for easier use of data bundle while traveling even.   Good responsive customer service.  If you are not in need of the latest cell phone, and don't want to be bound by contract , this is definitely the plan for you! "
4,At times connection is poor but overall it was good. The plan does help to save alot and it is affordable. Convenient for users to customize according to own needs. I will recommend thid plan to my friends. 
5,"Sign up was easy Network wise along NEL there will be some disconnection, not sure if it's device or network despite showing 4G network  Overall experience is good, service replies are quick if you have any questions/doubts "
5,"Circle Life is one the rare MVNO which have excellent CRM and responsive to subscribers. Plus their Circle.Life APP which is easily to use and have other useful functions. Last but no t least, they have their own Insider facebook closed group , which organised activities for CL""s insiders,. I think it is awesome and one of the kind MVNO out here! "
5,"Great affordable fuss free sim only plan. Great customer support as well, the interface is user - friendly as well. Truly a remarkable feat"
5,"Have been a fan since I onboarded with Circles.Life in 2016!  [On-boarding Process] Simple and hassle free. Ported with old M1 number over as well.   [Customer Service]  No need to queue for hours at M1 just to change payer for mobile bill? Another big win for me.   [Data Connectivity]  So far, so good!   [Customer Perks]  500MB extra for birthdays, and now UNLIMITED DATA DAILY in August until 19th August! #streamvideosalldaylong  [Flexibility] Love the flexibility of being able to add data boosts on the Circles app on a as-needed basis.   [Community] Last but not least, I absolutely LOVE how their team really looks at fostering the community. Have been to a few of their Inner Circles events, and we've done things from archery to acai bowl workshops! Loads and loads of fun <3  Verdict: Super satisfied customer and advocate!  "
4,"A lot of people look at the price/value proposition of the service and concluded that it is not as good as the other providers. True. They are a MVNO, using another telco's network to provide the service but that's where things started to be different.   They have at least taken care of the current customers a bit more than the competition.   How do you get FREE unlimited data for a whopping 10 days just because they want to?   In the end, i shifted from TWO telcos and both lines are now with Circles.Life.   Do understand that not all services will be perfect. There are spotty connections in some odd places in Singapore. The best part is that there is no contract to tie you down so you can change to another service provider should the connection be bad.  To me the best customer service is the one that allows you to leave if they are not up to your standard. For that Circles.Life gets full points from me."
5,"One month into Circles.Life, so far it's all good. If you are greed for data, you should definitely go for Circles.Life! I also really like how you can customise your data plan every month!"
5,"SIM delivery arrived exactly as scheduled. No fuss on the number porting, hardly any service disruption. Just switch your phone SIM on midnight of the next business day. Free 20 GB for the month of August for National Day too!"
5,"If you don't qualify for the CIS promo but still want an additional 2GB on top of the 6GB (total 8GB), plus free incoming calls (so no impact on the 100 min talk time), PM me for the code. Limited quantity, until Dec 2018.  Application process was simple and extremely convenient, the app is easy to use and helps me keep track of everything easily, great interface."
2,"To be honest; registration was fast, delivery of SIM card was fast.. but getting hold of them on call is not as fast.  I remembered getting a connection issue @ AMK mrt station and contacting the team wasn't as easy. Also, I had wanted to give 3 stars but reduced to 2 because despite the high gb data given by circles life; their data tracking is just truly off the charts.  I measure my usage as less than 3gb on starhub & singtel; but on circles I always uses up my 21gb data. Now that's totally explainable. I have feedback and because it's been months since I switched back to Starhub (who have thankfully improved on their data roaming reliability) so hopefully circles has improved in this aspect."
5,"Circles life has been great so far for me. The porting process is hassle free and the connectivity is good while using 4G, now I get so much data and I’m paying way cheaper then my previous telco I would definitely recommend it"
4,"I just switched from Singtel to Circles recently. What really attracted me was the extra data I am getting for just $28/month. However,I do feel that my connectivity was better with Singtel even though it isn’t much of a concern to me. The unlimited WhatsApp was a game changer for me with 70% of my data being used to connect with my clients. Till date,I still believe that it is a good switch and I do not see myself switching to any other competing telcos. "
2,"Used it for 2 years, then decided to port over to Singtel as singtel had more competitive rates. Good whilst it lasted, but when porting, they didn't cancel my account and continued to charge sgd 28 every month for 2 months, although the overseas-based email customer service have said they terminated my line. Still waiting for the refund to happen (been 2 mths) and hoping they don't charge me a 3rd month. Avoid."
4,"My first non contract plan I signed after being tied with SingTel for donkey years.   The pros: - Considered cheap back then when there are no other competitors like Zero1  - Very very very good customer support. Speedy reply and very patient and understand.  - Their loyalty bonus data and mini games that gives bonus data   The cons: - When other telco start to up their game, the price plan for circles life doesn’t seem so attractive anymore.  -Tap on M1 network which is pretty slow at certain places. Like underground MRT, shopping Malls.  Changed to Zero1 after a few months due to a better pricing. Check out my review over there."
4,"Been with Circles for 1.5 years.  Initially had a lot of issues with connectivity/stability with 4G. Customer service although painful, was still a whole lot better as compared to other mobile carriers'. My major issues would be data connectivity when overseas - it works fine 1-2 days, after that, it's dead. Happened to me in China (exorbitant rates with no tie up partners), and Japan. I look forward to when they offer more competitive and comprehensive data roaming packages/partnerships. Otherwise, it's a breeze to use in Singapore - data usage without a second thought."
